Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
16.61,70.21,5,4,Часто,7.5,75.25,3,Да,0,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.29,Мужской,100.0
10.86,86.83,2,3,Редко,8.0,57.41,5,Да,3,Низкий,4,Частная,Нейтральное,Умеренная,Нет,Среднее,0.97,Мужской,100.0
17.6,84.85,3,4,Иногда,9.43,53.77,5,Да,3,Средний,5,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.25,Мужской,100.0
22.66,90.79,3,3,Иногда,7.16,79.4,3,Нет,3,Низкий,2,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.45,Женский,100.0
14.46,86.2,2,1,Часто,7.67,70.39,3,Нет,1,Средний,4,Частная,Нейтральное,Умеренная,Нет,Среднее,0.11,Женский,100.0
17.01,75.27,1,3,Иногда,6.2,77.43,4,Нет,3,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее,1.15,Женский,100.0
18.45,96.97,4,1,Иногда,6.46,74.79,3,Да,1,Низкий,3,Частная,Отрицательное,Низкая,Нет,Среднее,3.29,Женский,100.0
12.99,83.41,5,5,Нет,7.62,63.28,1,Да,2,Низкий,5,Обычная,Отрицательное,Умеренная,Нет,Среднее,1.76,Мужской,100.0
16.12,84.73,2,5,Нет,8.82,74.46,2,Да,2,Средний,5,Обычная,Нейтральное,Высокая,Нет,Среднее,1.86,Мужской,100.0
15.06,75.67,3,3,Часто,7.19,60.2,3,Да,1,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.45,Мужской,100.0
15.49,80.57,4,4,Редко,7.22,91.69,3,Да,5,Высокий,3,Частная,Нейтральное,Низкая,Нет,Высшее,0.84,Мужской,100.0
11.13,76.15,4,3,Редко,7.01,58.73,2,Да,1,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Среднее,3.73,Мужской,100.0
15.12,83.27,3,4,Иногда,6.86,72.65,5,Нет,2,Низкий,3,Частная,Положительное,Высокая,Нет,Среднее,0.18,Мужской,100.0
17.49,100.0,3,5,Редко,7.85,62.49,4,Да,1,Средний,1,Обычная,Отрицательное,Умеренная,Нет,Среднее специальное,3.9,Мужской,100.0
22.26,71.28,3,5,Часто,5.7,81.85,1,Нет,4,Низкий,3,Обычная,Нейтральное,Низкая,Нет,Высшее,1.32,Женский,100.0
19.8,68.86,4,3,Иногда,9.04,71.02,4,Да,2,Средний,2,Обычная,Нейтральное,Высокая,Нет,Среднее,3.63,Женский,100.0
25.77,99.71,4,4,Иногда,6.7,68.78,4,Да,1,Высокий,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.77,Женский,100.0
11.16,82.91,2,3,Часто,8.37,85.24,5,Да,1,Средний,1,Обычная,Положительное,Умеренная,Нет,Высшее,0.83,Женский,100.0
19.36,78.31,3,5,Нет,5.98,75.35,1,Да,1,Средний,4,Частная,Нейтральное,Умеренная,Нет,Среднее,2.79,Мужской,100.0
15.92,95.4,5,1,Редко,8.3,81.2,2,Да,3,Низкий,3,Обычная,Положительное,Высокая,Нет,Среднее специальное,3.07,Женский,100.0
25.95,78.94,4,4,Редко,8.31,63.22,5,Да,1,Средний,3,Обычная,Нейтральное,Высокая,Нет,Среднее,0.52,Мужской,100.0
10.96,100.0,5,4,Редко,7.96,58.14,5,Да,1,Высокий,4,Обычная,Отрицательное,Высокая,Нет,Высшее,7.21,Женский,100.0
10.8,91.78,4,4,Иногда,6.31,76.29,4,Да,3,Низкий,4,Частная,Отрицательное,Низкая,Нет,Высшее,0.18,Женский,100.0
12.0,80.12,3,2,Часто,7.8,71.17,4,Да,3,Низкий,3,Обычная,Нейтральное,Высокая,Нет,Высшее,0.14,Женский,100.0
5.0,100.0,3,5,Редко,6.08,82.52,1,Да,2,Средний,2,Обычная,Нейтральное,Низкая,Нет,Среднее,1.81,Женский,100.0
12.37,78.94,3,2,Редко,7.2,74.04,4,Да,0,Средний,4,Обычная,Отрицательное,Низкая,Нет,Среднее специальное,2.57,Женский,100.0
11.2,92.42,1,4,Часто,8.74,77.46,2,Да,1,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,6.48,Женский,100.0
15.75,87.99,3,3,Редко,8.46,55.52,2,Да,2,Высокий,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,1.04,Мужской,100.0
16.71,98.02,4,3,Редко,7.52,95.0,5,Да,1,Низкий,3,Частная,Отрицательное,Умеренная,Нет,Высшее,0.1,Женский,100.0
24.38,100.0,2,4,Редко,6.33,73.03,2,Да,0,Средний,3,Частная,Нейтральное,Умеренная,Нет,Среднее специальное,1.85,Мужской,100.0
19.75,85.32,4,3,Часто,8.27,83.37,3,Да,0,Средний,3,Обычная,Положительное,Высокая,Нет,Среднее специальное,0.68,Женский,100.0
12.12,77.47,3,2,Иногда,7.52,64.97,5,Да,0,Низкий,4,Обычная,Нейтральное,Низкая,Нет,Среднее,1.13,Мужской,100.0
10.51,89.6,5,2,Иногда,4.72,78.7,2,Да,2,Средний,5,Обычная,Положительное,Низкая,Нет,Среднее специальное,1.34,Мужской,100.0
17.46,78.22,1,3,Часто,8.44,59.37,5,Да,0,Низкий,1,Обычная,Нейтральное,Высокая,Нет,Среднее специальное,0.13,Женский,100.0
8.4,100.0,2,4,Редко,7.47,80.42,5,Да,0,Низкий,3,Обычная,Нейтральное,Низкая,Нет,Среднее,1.33,Мужской,100.0
24.16,86.37,3,5,Редко,8.94,70.73,4,Да,5,Низкий,1,Обычная,Нейтральное,Умеренная,Нет,Среднее,1.11,Женский,100.0
20.9,81.35,2,2,Часто,6.19,75.35,2,Нет,3,Высокий,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,2.49,Мужской,99.98
12.65,86.85,4,3,Редко,4.0,83.38,3,Да,1,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,2.08,Женский,100.0
6.43,71.53,4,2,Иногда,7.83,60.21,3,Да,0,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.41,Женский,100.0
21.77,75.28,2,1,Часто,7.85,66.79,3,Да,2,Средний,5,Обычная,Нейтральное,Низкая,Да,Высшее,0.46,Женский,100.0
14.43,97.0,3,4,Иногда,5.47,80.49,3,Да,0,Средний,4,Частная,Отрицательное,Высокая,Нет,Высшее,0.58,Мужской,100.0
21.19,78.43,3,4,Иногда,6.33,95.0,5,Нет,1,Средний,5,Частная,Положительное,Низкая,Нет,Среднее специальное,0.39,Мужской,100.0
7.03,74.53,3,2,Часто,10.0,73.34,2,Да,1,Высокий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,2.14,Женский,100.0
12.0,90.37,5,3,Часто,7.13,82.09,4,Да,2,Средний,2,Обычная,Нейтральное,Низкая,Нет,Высшее,10.0,Мужской,100.0
15.03,96.86,4,1,Редко,8.38,73.72,1,Да,2,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,2.11,Мужской,100.0
15.23,92.19,3,5,Нет,6.72,95.0,4,Да,3,Низкий,3,Обычная,Положительное,Умеренная,Нет,Среднее специальное,1.87,Женский,100.0
12.75,94.96,4,5,Редко,4.99,54.03,5,Да,2,Средний,2,Частная,Нейтральное,Высокая,Нет,Среднее специальное,1.06,Женский,100.0
18.11,77.43,3,2,Иногда,7.3,76.14,3,Да,2,Средний,3,Частная,Нейтральное,Умеренная,Нет,Высшее,0.75,Мужской,100.0
9.66,70.78,5,3,Редко,7.18,55.49,2,Да,2,Высокий,3,Обычная,Положительное,Умеренная,Нет,Среднее,4.84,Мужской,100.0
14.29,100.0,3,5,Иногда,7.02,44.92,4,Да,0,Низкий,5,Обычная,Положительное,Высокая,Нет,Среднее,6.95,Мужской,100.0
15.6,81.77,4,5,Редко,7.36,78.57,4,Да,2,Низкий,3,Обычная,Отрицательное,Умеренная,Нет,Среднее специальное,1.37,Женский,100.0
17.57,82.49,4,3,Иногда,7.82,76.67,4,Да,0,Средний,4,Частная,Отрицательное,Умеренная,Да,Высшее,0.69,Мужской,100.0
18.56,98.28,2,2,Нет,7.32,71.58,3,Да,0,Низкий,5,Обычная,Положительное,Умеренная,Нет,Среднее специальное,2.94,Женский,100.0
9.38,90.56,4,1,Иногда,5.98,73.73,3,Да,4,Низкий,4,Обычная,Положительное,Умеренная,Нет,Среднее специальное,0.28,Мужской,100.0
7.33,89.56,2,4,Иногда,8.08,95.0,5,Да,2,Высокий,3,Обычная,Нейтральное,Высокая,Нет,Среднее,2.9,Мужской,100.0
21.39,100.0,3,3,Редко,5.16,71.9,5,Да,3,Средний,3,Обычная,Нейтральное,Низкая,Нет,Высшее,3.42,Женский,100.0
16.66,78.56,3,1,Редко,5.04,81.12,3,Да,4,Высокий,3,Частная,Нейтральное,Умеренная,Нет,Высшее,0.27,Мужской,100.0
11.26,94.28,5,4,Иногда,8.39,67.21,5,Да,4,Высокий,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,7.53,Женский,100.0
22.76,85.57,4,1,Редко,8.11,78.54,3,Да,1,Низкий,3,Обычная,Нейтральное,Высокая,Нет,Среднее,8.47,Женский,100.0
15.58,87.69,4,4,Редко,7.43,72.14,3,Да,3,Средний,4,Обычная,Отрицательное,Высокая,Нет,Высшее,5.52,Мужской,100.0
20.9,100.0,4,3,Часто,5.83,70.07,2,Нет,1,Низкий,3,Обычная,Положительное,Умеренная,Нет,Среднее специальное,1.37,Женский,100.0
15.34,90.08,3,1,Иногда,6.65,95.0,3,Да,3,Высокий,3,Частная,Положительное,Умеренная,Да,Высшее,0.56,Мужской,100.0
25.3,90.38,5,4,Часто,7.18,89.13,4,Да,1,Средний,5,Обычная,Нейтральное,Умеренная,Нет,Среднее,1.74,Мужской,100.0
23.78,95.73,3,3,Редко,5.58,76.64,1,Да,2,Средний,2,Обычная,Нейтральное,Умеренная,Нет,Среднее,1.09,Мужской,100.0
13.76,81.35,3,5,Редко,6.61,47.35,3,Да,3,Средний,3,Частная,Отрицательное,Высокая,Нет,Высшее,0.46,Женский,100.0
19.86,76.61,2,4,Часто,8.28,70.67,4,Да,1,Средний,4,Частная,Нейтральное,Высокая,Нет,Среднее,1.1,Мужской,100.0
18.23,74.55,4,3,Иногда,9.21,95.0,4,Нет,4,Низкий,2,Обычная,Нейтральное,Высокая,Нет,Среднее специальное,2.18,Женский,100.0
21.84,65.34,4,4,Иногда,7.0,72.23,4,Нет,2,Средний,4,Частная,Нейтральное,Низкая,Нет,Среднее специальное,0.15,Женский,100.0
10.18,100.0,3,3,Редко,8.41,88.24,5,Да,0,Средний,3,Обычная,Нейтральное,Высокая,Нет,Высшее,0.81,Мужской,100.0
18.43,73.97,1,5,Редко,5.2,92.3,1,Нет,1,Высокий,4,Обычная,Нейтральное,Высокая,Нет,Среднее,0.1,Мужской,100.0
20.29,82.79,4,3,Нет,8.29,77.63,4,Да,0,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее,2.77,Женский,100.0
6.21,82.23,1,4,Редко,6.54,64.9,4,Да,1,Средний,3,Обычная,Отрицательное,Умеренная,Нет,Высшее,2.05,Женский,99.78
9.08,88.07,4,2,Нет,7.87,45.78,4,Да,4,Высокий,3,Частная,Нейтральное,Умеренная,Нет,Среднее специальное,0.13,Женский,100.0
5.0,93.16,5,3,Нет,7.2,83.21,3,Да,2,Низкий,2,Частная,Положительное,Умеренная,Нет,Среднее,6.69,Женский,100.0
13.65,93.6,3,5,Часто,9.08,65.22,2,Да,2,Высокий,3,Обычная,Нейтральное,Высокая,Нет,Среднее,0.1,Мужской,100.0
18.59,79.17,2,5,Редко,6.45,77.11,5,Да,1,Низкий,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,1.78,Женский,100.0
22.51,83.33,4,3,Иногда,8.25,60.0,3,Да,1,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,3.0,Женский,98.61
15.37,87.83,4,3,Часто,7.16,71.82,5,Да,4,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее специальное,3.1,Женский,100.0
23.14,82.51,3,5,Иногда,7.31,75.4,4,Да,4,Средний,3,Частная,Отрицательное,Умеренная,Нет,Среднее специальное,0.1,Женский,100.0
8.1,100.0,5,5,Нет,7.28,78.22,4,Да,1,Высокий,3,Частная,Нейтральное,Высокая,Нет,Высшее,4.74,Женский,100.0
6.48,89.91,1,2,Иногда,6.49,61.62,5,Да,4,Низкий,4,Обычная,Отрицательное,Умеренная,Да,Высшее,5.01,Женский,97.11
14.72,92.35,3,3,Иногда,7.48,89.36,4,Да,0,Средний,3,Обычная,Отрицательное,Умеренная,Нет,Среднее специальное,1.65,Женский,100.0
16.92,91.63,4,3,Иногда,7.42,67.84,3,Да,2,Средний,2,Обычная,Нейтральное,Низкая,Нет,Среднее,1.32,Мужской,100.0
14.84,96.73,4,5,Иногда,7.79,54.91,4,Да,0,Высокий,4,Частная,Отрицательное,Умеренная,Нет,Высшее,0.1,Женский,100.0
5.0,86.81,2,2,Часто,7.6,73.69,5,Да,2,Низкий,4,Частная,Положительное,Умеренная,Нет,Среднее специальное,1.65,Мужской,100.0
14.55,72.03,4,3,Иногда,8.46,75.41,3,Да,1,Высокий,3,Обычная,Положительное,Высокая,Нет,Высшее,1.05,Мужской,100.0
8.48,89.0,3,4,Редко,8.61,76.93,3,Да,3,Средний,3,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,2.96,Мужской,100.0
18.35,78.49,3,2,Иногда,6.24,91.35,1,Нет,3,Низкий,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,1.03,Мужской,100.0
16.83,79.71,2,3,Нет,8.54,72.16,5,Да,0,Средний,3,Обычная,Нейтральное,Низкая,Нет,Среднее,2.3,Мужской,100.0
10.3,90.86,4,3,Часто,6.08,73.56,1,Нет,2,Низкий,4,Обычная,Положительное,Умеренная,Нет,Высшее,0.21,Женский,100.0
12.43,97.38,2,3,Нет,8.21,61.76,4,Да,0,Средний,1,Обычная,Нейтральное,Высокая,Нет,Среднее,0.29,Мужской,100.0
9.7,85.21,3,3,Редко,8.24,84.85,3,Да,2,Низкий,4,Обычная,Отрицательное,Умеренная,Нет,Среднее,0.3,Женский,100.0
14.69,88.09,2,4,Часто,5.21,77.21,3,Да,1,Средний,2,Частная,Положительное,Умеренная,Нет,Среднее,0.1,Мужской,100.0
19.78,100.0,4,2,Иногда,7.61,69.96,4,Да,3,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее,1.56,Мужской,100.0
10.07,87.41,3,4,Редко,6.94,52.14,1,Да,2,Средний,4,Частная,Нейтральное,Низкая,Нет,Среднее,3.16,Мужской,99.75
17.52,100.0,4,5,Редко,6.59,92.33,4,Да,1,Средний,3,Частная,Положительное,Умеренная,Нет,Среднее,1.89,Мужской,100.0
12.35,90.66,2,4,Часто,9.12,60.27,4,Да,2,Средний,2,Частная,Положительное,Умеренная,Нет,Высшее,1.71,Женский,100.0
11.04,67.39,3,2,Редко,6.72,67.9,5,Да,3,Низкий,5,Обычная,Нейтральное,Умеренная,Нет,Среднее,2.28,Женский,100.0
14.46,92.53,3,2,Часто,6.53,79.3,2,Да,3,Средний,4,Обычная,Нейтральное,Высокая,Нет,Высшее,0.83,Мужской,100.0
9.82,88.81,4,3,Нет,7.59,60.64,5,Да,0,Высокий,4,Частная,Положительное,Умеренная,Нет,Среднее,0.9,Мужской,100.0
12.23,97.9,5,3,Иногда,8.32,57.08,4,Да,1,Высокий,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.75,Женский,100.0
9.01,91.73,1,3,Часто,7.33,49.51,5,Да,4,Низкий,2,Обычная,Нейтральное,Высокая,Нет,Среднее специальное,2.49,Мужской,100.0
24.82,83.62,3,4,Нет,8.9,83.65,3,Да,3,Низкий,5,Обычная,Отрицательное,Высокая,Нет,Высшее,0.35,Мужской,100.0
15.18,72.76,1,2,Редко,8.14,68.46,4,Да,1,Высокий,3,Обычная,Положительное,Умеренная,Нет,Высшее,0.1,Женский,100.0
11.5,82.91,3,1,Нет,4.89,95.0,5,Да,0,Средний,4,Частная,Положительное,Низкая,Нет,Среднее специальное,1.81,Мужской,100.0
16.07,76.49,2,3,Иногда,6.86,63.07,5,Да,4,Средний,3,Частная,Отрицательное,Умеренная,Нет,Высшее,5.71,Женский,100.0
14.44,79.19,3,4,Иногда,6.83,63.94,3,Да,1,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее,1.88,Женский,100.0
13.9,90.89,3,2,Иногда,8.08,68.22,3,Да,3,Средний,5,Обычная,Положительное,Низкая,Нет,Среднее специальное,3.05,Мужской,100.0
18.07,100.0,3,4,Нет,4.35,77.92,3,Да,1,Средний,3,Обычная,Положительное,Низкая,Нет,Среднее,2.23,Мужской,100.0
18.79,88.95,3,3,Редко,10.0,69.36,3,Да,2,Высокий,2,Обычная,Отрицательное,Низкая,Нет,Среднее,1.38,Женский,100.0
12.35,73.04,4,5,Нет,8.14,82.35,3,Да,4,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,2.53,Мужской,100.0
12.12,89.45,3,5,Редко,7.68,63.26,3,Да,1,Низкий,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,3.48,Женский,98.1
13.62,96.97,1,3,Иногда,8.92,58.42,5,Да,4,Низкий,1,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.51,Женский,100.0
5.0,78.9,4,3,Часто,10.0,53.42,1,Да,2,Низкий,3,Частная,Нейтральное,Низкая,Нет,Высшее,0.82,Мужской,100.0
7.42,83.66,2,3,Иногда,8.54,48.32,4,Да,3,Средний,3,Обычная,Положительное,Умеренная,Нет,Среднее специальное,0.51,Женский,100.0
21.83,85.15,3,3,Редко,8.64,68.78,2,Да,4,Низкий,4,Частная,Нейтральное,Умеренная,Нет,Среднее,1.2,Мужской,100.0
23.22,77.15,3,4,Часто,7.66,71.39,3,Да,5,Низкий,3,Частная,Положительное,Низкая,Нет,Высшее,4.33,Мужской,100.0
13.75,91.48,3,5,Иногда,7.33,67.42,1,Да,1,Высокий,5,Частная,Отрицательное,Умеренная,Нет,Высшее,0.85,Женский,100.0
17.88,83.79,1,4,Часто,6.93,89.92,3,Да,2,Низкий,2,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.94,Женский,100.0
16.56,89.2,3,5,Иногда,6.51,89.74,4,Да,3,Низкий,3,Частная,Отрицательное,Умеренная,Нет,Среднее специальное,3.94,Женский,100.0
30.0,76.13,5,3,Редко,6.68,70.98,5,Да,0,Низкий,2,Частная,Нейтральное,Умеренная,Нет,Высшее,1.45,Мужской,100.0
20.6,80.63,3,2,Нет,5.88,53.47,2,Да,1,Низкий,4,Обычная,Нейтральное,Низкая,Нет,Высшее,1.53,Женский,93.96
14.36,92.22,3,4,Иногда,7.41,68.2,3,Нет,2,Средний,5,Обычная,Положительное,Умеренная,Нет,Среднее,3.94,Мужской,100.0
10.22,81.27,3,3,Нет,5.48,67.8,3,Да,0,Высокий,4,Обычная,Нейтральное,Низкая,Нет,Среднее,1.35,Женский,96.09
6.97,100.0,2,4,Редко,7.73,67.11,5,Да,2,Высокий,3,Обычная,Нейтральное,Низкая,Нет,Среднее,2.29,Женский,100.0
16.02,81.0,3,3,Иногда,7.46,66.63,4,Да,4,Средний,3,Частная,Нейтральное,Умеренная,Нет,Среднее,0.18,Женский,100.0
11.22,87.25,4,2,Иногда,7.68,67.16,4,Да,3,Средний,4,Частная,Отрицательное,Умеренная,Нет,Среднее специальное,0.39,Женский,100.0
7.89,94.33,2,5,Иногда,6.87,70.36,4,Да,2,Средний,5,Частная,Отрицательное,Низкая,Да,Высшее,1.04,Женский,100.0
11.77,70.82,2,2,Нет,10.0,67.37,5,Да,4,Низкий,5,Обычная,Нейтральное,Низкая,Да,Среднее специальное,1.37,Женский,100.0
9.59,67.39,2,5,Редко,9.13,77.5,1,Да,3,Низкий,3,Обычная,Нейтральное,Высокая,Нет,Высшее,6.75,Женский,100.0
23.44,69.74,3,5,Иногда,6.01,79.32,3,Да,0,Высокий,5,Частная,Положительное,Умеренная,Нет,Среднее специальное,7.06,Женский,100.0
19.41,97.63,5,4,Часто,7.78,64.07,5,Да,2,Низкий,2,Обычная,Нейтральное,Умеренная,Нет,Среднее,3.81,Женский,100.0
14.96,79.48,1,4,Иногда,6.77,90.25,4,Да,5,Низкий,3,Обычная,Положительное,Умеренная,Нет,Среднее,0.76,Женский,100.0
22.4,100.0,3,4,Часто,6.28,63.24,4,Да,1,Средний,2,Обычная,Нейтральное,Низкая,Нет,Среднее специальное,6.65,Женский,100.0
15.39,79.36,2,5,Иногда,5.89,55.59,4,Да,2,Средний,3,Обычная,Положительное,Умеренная,Нет,Высшее,2.34,Мужской,100.0
10.69,86.85,5,3,Иногда,8.02,79.57,3,Да,2,Низкий,4,Частная,Нейтральное,Низкая,Нет,Высшее,1.0,Мужской,100.0
22.62,100.0,2,3,Нет,6.68,65.19,4,Да,2,Низкий,4,Частная,Нейтральное,Умеренная,Нет,Среднее,2.42,Женский,100.0
17.69,100.0,3,4,Иногда,8.66,78.86,4,Да,1,Средний,4,Обычная,Нейтральное,Низкая,Нет,Высшее,0.1,Женский,100.0
9.81,100.0,4,3,Иногда,8.69,46.16,3,Да,2,Средний,4,Обычная,Положительное,Умеренная,Нет,Среднее,0.32,Женский,100.0
14.05,97.08,4,3,Иногда,9.15,91.71,4,Да,0,Низкий,3,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,3.54,Мужской,100.0
10.62,95.24,3,3,Редко,6.48,83.07,5,Да,0,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,2.07,Мужской,100.0
8.09,90.93,3,4,Иногда,8.07,56.99,2,Да,0,Средний,3,Обычная,Нейтральное,Низкая,Нет,Среднее,0.91,Женский,100.0
19.63,92.78,3,5,Редко,8.26,57.25,3,Да,2,Высокий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,1.39,Женский,100.0
24.55,79.49,2,3,Иногда,6.93,95.0,3,Да,5,Средний,4,Частная,Нейтральное,Умеренная,Нет,Среднее,4.71,Мужской,100.0
8.01,76.82,2,5,Нет,6.57,66.15,4,Да,3,Низкий,4,Обычная,Отрицательное,Умеренная,Нет,Среднее,2.0,Женский,100.0
17.81,84.97,3,4,Часто,9.43,64.99,2,Да,4,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Высшее,1.02,Женский,100.0
11.75,83.3,2,5,Нет,7.77,47.81,4,Да,1,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.26,Мужской,100.0
12.56,80.47,2,4,Нет,8.26,70.79,5,Да,2,Низкий,3,Обычная,Отрицательное,Умеренная,Нет,Среднее специальное,0.7,Мужской,100.0
12.04,91.96,3,4,Редко,6.51,72.27,3,Да,3,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,7.66,Мужской,98.96
10.68,94.55,5,1,Иногда,6.04,83.59,5,Да,2,Низкий,4,Обычная,Отрицательное,Высокая,Нет,Высшее,1.15,Мужской,100.0
15.24,85.88,3,5,Редко,6.82,58.21,5,Нет,3,Низкий,3,Обычная,Положительное,Низкая,Нет,Высшее,1.28,Мужской,100.0
10.85,99.78,1,1,Редко,7.35,56.76,2,Да,5,Средний,4,Обычная,Нейтральное,Низкая,Нет,Высшее,1.38,Мужской,100.0
16.35,73.58,1,5,Иногда,6.22,80.41,2,Нет,3,Низкий,3,Обычная,Положительное,Умеренная,Нет,Среднее специальное,4.31,Мужской,100.0
14.75,83.06,5,5,Редко,7.49,87.08,5,Да,1,Высокий,3,Обычная,Нейтральное,Высокая,Нет,Среднее,1.85,Женский,100.0
13.81,77.83,2,3,Часто,5.47,56.15,5,Да,2,Средний,4,Обычная,Положительное,Высокая,Нет,Высшее,2.37,Женский,100.0
10.46,66.33,1,3,Часто,6.16,87.98,1,Нет,1,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.99,Женский,99.51
12.12,84.17,3,4,Иногда,8.31,75.45,1,Да,2,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,0.1,Мужской,100.0
18.78,83.78,3,3,Редко,8.22,88.1,2,Да,1,Средний,3,Обычная,Нейтральное,Умеренная,Нет,Среднее,5.35,Женский,100.0
17.5,100.0,3,5,Иногда,7.03,74.16,5,Да,2,Низкий,3,Обычная,Положительное,Умеренная,Нет,Среднее специальное,5.96,Женский,100.0
10.11,91.31,2,2,Нет,6.28,44.73,2,Да,1,Высокий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,5.96,Женский,100.0
15.5,74.76,1,2,Редко,6.27,73.18,4,Да,3,Высокий,2,Частная,Нейтральное,Высокая,Нет,Среднее специальное,5.75,Женский,100.0
18.76,100.0,5,5,Редко,7.05,87.72,5,Да,3,Низкий,4,Обычная,Отрицательное,Умеренная,Нет,Среднее специальное,3.38,Женский,100.0
6.65,97.21,2,4,Часто,8.27,64.28,1,Да,3,Низкий,4,Обычная,Нейтральное,Умеренная,Нет,Среднее,2.31,Женский,100.0
17.72,90.82,3,5,Нет,8.61,70.34,4,Да,0,Низкий,2,Обычная,Нейтральное,Умеренная,Нет,Высшее,3.72,Женский,100.0
11.69,82.74,4,3,Иногда,6.9,72.89,3,Да,0,Средний,4,Обычная,Отрицательное,Умеренная,Нет,Среднее специальное,1.84,Мужской,100.0
17.85,75.41,3,4,Иногда,6.12,40.21,5,Да,1,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,0.29,Мужской,100.0
11.18,81.28,3,4,Редко,7.82,95.0,3,Да,1,Высокий,2,Частная,Нейтральное,Умеренная,Нет,Среднее специальное,0.99,Мужской,100.0
5.98,95.89,2,4,Нет,6.51,64.18,4,Да,4,Средний,3,Обычная,Положительное,Низкая,Нет,Среднее,7.1,Мужской,100.0
6.86,100.0,3,4,Часто,6.88,81.07,4,Да,1,Средний,3,Частная,Отрицательное,Низкая,Нет,Среднее,0.87,Мужской,100.0
15.24,100.0,4,4,Иногда,9.09,73.96,2,Да,2,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Среднее специальное,4.05,Женский,100.0
16.3,80.11,5,3,Иногда,8.49,90.09,1,Да,1,Средний,4,Обычная,Положительное,Высокая,Нет,Среднее,0.2,Мужской,100.0
10.48,73.8,2,3,Редко,7.69,79.87,3,Да,2,Средний,3,Обычная,Нейтральное,Низкая,Нет,Среднее,0.81,Женский,100.0
18.19,86.41,2,4,Редко,5.97,72.18,3,Да,0,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.86,Женский,100.0
6.69,67.32,5,3,Редко,7.75,64.28,5,Да,4,Средний,4,Обычная,Положительное,Умеренная,Нет,Среднее специальное,0.11,Мужской,100.0
14.67,88.23,4,4,Нет,8.78,84.57,5,Нет,2,Средний,4,Частная,Нейтральное,Низкая,Нет,Среднее специальное,0.25,Женский,100.0
8.94,83.52,4,3,Нет,7.05,52.52,3,Да,0,Средний,4,Частная,Нейтральное,Высокая,Нет,Среднее специальное,0.43,Мужской,100.0
11.74,80.34,2,4,Часто,9.12,82.75,4,Да,2,Средний,3,Обычная,Положительное,Высокая,Нет,Высшее,3.64,Женский,100.0
15.24,69.05,3,4,Редко,9.05,61.81,4,Да,3,Средний,4,Обычная,Положительное,Низкая,Нет,Среднее,0.13,Женский,100.0
10.7,90.14,4,3,Нет,9.5,90.03,5,Да,2,Средний,4,Обычная,Нейтральное,Умеренная,Нет,Высшее,0.71,Мужской,100.0
